iter	MultiClass
0	0.9877017919
1	0.9061155082
2	0.8440163661
3	0.7934922825
4	0.7535142942
5	0.7203678649
6	0.6938906168
7	0.6698288174
8	0.6512999004
9	0.6347829322
10	0.6182202522
11	0.6036873454
12	0.5925151277
13	0.5822001497
14	0.5727236806
15	0.5647761763
16	0.5576697324
17	0.5516908911
18	0.5456952254
19	0.5411404356
20	0.5361942742
21	0.5322808212
22	0.5287402125
23	0.5256646773
24	0.5222891643
25	0.5196496257
26	0.5176410211
27	0.5153822843
28	0.512661681
29	0.5104253761
30	0.5091680793
31	0.5074312009
32	0.5057203446
33	0.5043046832
34	0.5033840845
35	0.5019414614
36	0.5008549948
37	0.4995963216
38	0.4988211916
39	0.4976659401
40	0.4965523608
41	0.4958822792
42	0.4951930788
43	0.4945334505
44	0.4937187182
45	0.4930436598
46	0.4923445999
47	0.4916669309
48	0.4911174667
49	0.4905222089
50	0.4898810466
51	0.489475302
52	0.4889693307
53	0.4884011414
54	0.4879396897
55	0.4874256526
56	0.4870981756
57	0.4866308845
58	0.486334092
59	0.4859691308
60	0.4856461464
61	0.4854381186
62	0.4852371088
63	0.4849968731
64	0.4847128273
65	0.4844825497
66	0.4842882526
67	0.4839659183
68	0.483648882
69	0.4832502107
70	0.4828209378
71	0.4826548639
72	0.482333992
73	0.4821902652
74	0.4818515267
75	0.4817172297
76	0.4815354379
77	0.4813714382
78	0.4811632782
79	0.4809618454
80	0.4808073011
81	0.4805599635
82	0.4802334287
83	0.4797849697
84	0.4796289617
85	0.4795349416
86	0.4793043301
87	0.4790913432
88	0.4789311654
89	0.478725491
90	0.4785677484
91	0.4784506084
92	0.4781870779
93	0.4780127553
94	0.4777202417
95	0.4774384206
96	0.4772921254
97	0.4770786335
98	0.4768449145
99	0.4764888844
100	0.4762638567
101	0.4760859621
102	0.4758846819
103	0.4757449901
104	0.4754475904
105	0.4752392461
106	0.4750548937
107	0.4749259243
108	0.4747616348
109	0.4745341716
110	0.4744197509
111	0.4743259912
112	0.4740789571
113	0.4738388062
114	0.4736781294
115	0.4735734087
116	0.4734277212
117	0.4732753274
118	0.4730794372
119	0.4728371371
120	0.4726903587
121	0.4725180369
122	0.4724089232
123	0.4722911755
124	0.4722153547
125	0.4721310989
126	0.4720246532
127	0.4718919404
128	0.4717591624
129	0.4716508935
130	0.4715989284
131	0.4715408214
132	0.4713687943
133	0.4712997359
134	0.471210994
135	0.471102683
136	0.4710564277
137	0.4709630537
138	0.4708299441
139	0.4707328417
140	0.470660215
141	0.4705129016
142	0.4704117686
143	0.4703224914
144	0.4701647186
145	0.4701237243
146	0.4700017606
147	0.4699649048
148	0.4699248871
149	0.4698983217
150	0.4698368915
151	0.4697226728
152	0.4696946624
153	0.4695836031
154	0.4694892313
155	0.4693596329
156	0.4692948476
157	0.4692318634
158	0.4691672987
159	0.4690836957
160	0.4690095293
161	0.4689748022
162	0.4688760979
163	0.4687785589
164	0.4687341897
165	0.4686683747
166	0.4686006308
167	0.4685604536
168	0.4685350653
169	0.4684942931
170	0.4684699629
171	0.4684167707
172	0.4683592009
173	0.4683556932
174	0.4683349527
175	0.4683202342
176	0.4682855596
177	0.4682239633
178	0.4682135062
179	0.468162677
180	0.4681058061
181	0.4680691937
182	0.4679941014
183	0.4679467009
184	0.4678865616
185	0.4677687959
186	0.467678336
187	0.4674764638
188	0.4674247718
189	0.4673294918
190	0.4672909067
191	0.4672339897
192	0.4672150556
193	0.4671460153
194	0.4670851515
195	0.4670354524
196	0.4669196119
197	0.4668834444
198	0.46687308
199	0.4668302044
200	0.4667587966
201	0.4666720428
202	0.4665796328
203	0.4665320361
204	0.4664905579
205	0.4664462401
206	0.4664101813
207	0.4663879483
208	0.4663570298
209	0.4662836807
210	0.466253889
211	0.466152816
212	0.4660752977
213	0.4659919416
214	0.4659554472
215	0.465867752
216	0.4658352768
217	0.465829418
218	0.46580314
219	0.4657656039
220	0.4657165494
221	0.4656748121
222	0.4656537621
223	0.4656424191
224	0.4656128955
225	0.4655508188
226	0.4654886119
227	0.4654398278
228	0.4654202019
229	0.4653769939
230	0.465299723
231	0.4652742156
232	0.4651961272
233	0.4651682962
234	0.4651038156
235	0.4650845387
236	0.4650803505
237	0.4650396618
238	0.46499131
239	0.4649674735
240	0.4649384692
241	0.4648761617
242	0.464818965
243	0.4648138405
244	0.4647745862
245	0.4647403236
246	0.464714059
247	0.4646573528
248	0.4646447727
249	0.4646331882
250	0.4646026684
251	0.4645751912
252	0.4645386391
253	0.4645261173
254	0.4645037903
255	0.4644863667
256	0.4644477721
257	0.4643723266
258	0.464335839
259	0.4642535699
260	0.4642250878
261	0.4641300295
262	0.464077907
263	0.4640595178
264	0.4640374272
265	0.4640069962
266	0.4640002438
267	0.4639527552
268	0.4638207703
269	0.4637839513
270	0.4637486492
271	0.4637431373
272	0.4637361407
273	0.4637207985
274	0.4637015269
275	0.4636419697
276	0.4636172386
277	0.4635831399
278	0.4635387279
279	0.4634900786
280	0.4634193568
281	0.4634090266
282	0.4633827179
283	0.4633339576
284	0.4633266463
285	0.4633207404
286	0.4632903475
287	0.4632650423
288	0.4632106676
289	0.4631990845
290	0.4631713219
291	0.4631528327
292	0.4631306718
293	0.4631273129
294	0.4631038193
295	0.4630085422
296	0.4630008333
297	0.4629868004
298	0.462903088
299	0.4628513879
300	0.4627972577
301	0.4627745057
302	0.46275001
303	0.4627455861
304	0.4626567315
305	0.4626446034
306	0.4625881108
307	0.4625495719
308	0.4624900952
309	0.462476666
310	0.4624479976
311	0.4624012166
312	0.4623352021
313	0.4622995662
314	0.4622715984
315	0.4622559419
316	0.462196858
317	0.4621827731
318	0.4621053159
319	0.4620264607
320	0.4619973375
321	0.4619801077
322	0.4619713228
323	0.4619485222
324	0.4618651438
325	0.4618040341
326	0.4617592193
327	0.4617489863
328	0.4617400836
329	0.461704249
330	0.4616833634
331	0.4616692923
332	0.4616521664
333	0.4616336957
334	0.461627175
335	0.4616011799
336	0.4615483476
337	0.4615293652
338	0.4614746895
339	0.4614521375
340	0.4614483986
341	0.4614208916
342	0.4613754662
343	0.4613526715
344	0.461343078
345	0.4613119352
346	0.4612852186
347	0.4612578419
348	0.4612029047
349	0.461197823
